Year,Row Labels,Burned,Rodents,1,2,3,4,5
2009,BN,B,N,3,1,1,1,2
2009,BR,B,R,2,1,4,3,3
2009,UN,U,N,2,1,1,1,2
2009,UR,U,R,2,4,3,,2
2016,BN,B,N,6,1,2,2,2
2016,BR,B,R,2,6,6,3,3
2016,UN,U,N,3,1,,1,3
2016,UR,U,R,3,3,4,2,2
2021,BN,B,N,4,4,2,1,2
2021,BR,B,R,1,5,4,3,1
2021,UN,U,N,3,10,3,2,3
2021,UR,U,R,8,4,10,1,5
2023,BN,B,N,5,6,7,2,1
2023,BR,B,R,4,5,9,3,4
2023,UN,U,N,7,9,1,3,1
2023,UR,U,R,7,5,8,4,5
