Block,Plot,Burned,Rodents,Emerging,Returning,Total act,Disk Diameter (cm),Mound Diameter (cm),Mound Height (cm),Time,Temp,Recorders,Disk Diameter (m),Disk Area
4,BS,Burned,Rodents present,0,0,0,290,50,3,10:08,,Ellie,2.9,6.605198554
4,BS,Burned,Rodents present,8,3,11,550,83,14,10:13,,Ellie,5.5,23.75829444
4,BS,Burned,Rodents present,29,7,36,570,100,18,10:20,,Ellie,5.7,25.51758633
4,BN,Burned,Rodents excluded,43,36,79,370,69,16,10:25,,Ellie,3.7,10.75210086
4,BN,Burned,Rodents excluded,31,18,49,210,45,9,10:29,,Ellie,2.1,3.463605901
4,BN,Burned,Rodents excluded,1,3,4,225,50,8,10:32,,Ellie,2.25,3.976078202
4,BN,Burned,Rodents excluded,27,40,67,380,105,18,10:35,,Ellie,3.8,11.34114948
4,BN,Burned,Rodents excluded,16,16,32,360,67,13,10:39,,Ellie,3.6,10.1787602
4,BN,Burned,Rodents excluded,23,26,49,400,75,20,10:43,,Ellie,4,12.56637061
4,BN,Burned,Rodents excluded,0,0,0,130,30,3,10:45,,Ellie,1.3,1.327322896
4,BN,Burned,Rodents excluded,13,14,27,190,55,8,10:48,,Ellie,1.9,2.83528737
4,BN,Burned,Rodents excluded,31,29,60,280,55,12,10:51,,Ellie,2.8,6.157521601
4,BN,Burned,Rodents excluded,39,42,81,320,57,14,10:54,,Ellie,3.2,8.042477193
4,US,Unburned,Rodents present,0,0,0,300,35,1,11:00,,Ellie,3,7.068583471
4,US,Unburned,Rodents present,22,27,49,410,50,2,11:04,,Ellie,4.1,13.20254313
4,US,Unburned,Rodents present,26,47,73,380,45,3,11:12,,Ellie,3.8,11.34114948
5,BN,Burned,Rodents excluded,20,19,39,310,60,13,9:49,,McKay,3.1,7.54767635
5,BN,Burned,Rodents excluded,11,12,23,280,83,18,9:58,,McKay,2.8,6.157521601
5,BN,Burned,Rodents excluded,1,0,1,34,130,23,10:01,,McKay,0.34,0.090792028
5,BN,Burned,Rodents excluded,5,10,15,130,34,11,10:07,,McKay,1.3,1.327322896
5,BN,Burned,Rodents excluded,71,38,109,86,50,5,10:11,,McKay,0.86,0.580880482
5,BN,Burned,Rodents excluded,13,23,36,242,70,17,10:14,,McKay,2.42,4.599605804
5,BN,Burned,Rodents excluded,14,16,30,250,57,10,10:17,,McKay,2.5,4.908738521
5,BN,Burned,Rodents excluded,0,0,0,130,44,9,10:21,,McKay,1.3,1.327322896
5,BN,Burned,Rodents excluded,17,18,35,270,65,12,10:25,,McKay,2.7,5.725552611
5,BN,Burned,Rodents excluded,35,24,59,226,52,6,10:28,,McKay,2.26,4.011499659
5,BN,Burned,Rodents excluded,20,18,38,85,35,4,10:32,,McKay,0.85,0.567450173
5,UN,Unburned,Rodents excluded,10,6,16,60,27,2,10:38,,McKay,0.6,0.282743339
5,UN,Unburned,Rodents excluded,33,23,56,620,95,17,10:44,,McKay,6.2,30.1907054
5,UN,Unburned,Rodents excluded,17,18,35,190,79,19,10:48,,McKay,1.9,2.83528737
5,BS,Burned,Rodents present,14,9,23,93,28,2,10:52,,McKay,0.93,0.679290872
5,BS,Burned,Rodents present,9,12,21,350,76,16,10:57,,McKay,3.5,9.621127502
5,BS,Burned,Rodents present,19,13,32,530,111,11,11:01,,McKay,5.3,22.06183441
5,BS,Burned,Rodents present,7,7,14,188,39,2,11:05,,McKay,1.88,2.775911269
5,US,Unburned,Rodents present,7,10,17,730,197,11,11:09,,McKay,7.3,41.85386813
5,US,Unburned,Rodents present,44,27,71,520,76,1,11:13,,McKay,5.2,21.23716634
5,US,Unburned,Rodents present,37,29,66,470,67,4,11:18,,McKay,4.7,17.34944543
0,C,C,C,3,2,5,730,105,18,9:52,,Ryan,7.3,41.85386813
0,C,C,C,1,3,4,510,81,7,9:59,,Ryan,5.1,20.42820623
0,C,C,C,3,5,8,415,80,10,10:05,,Ryan,4.15,13.52651987
0,C,C,C,6,1,7,590,85,3,10:09,,Ryan,5.9,27.33971007
0,C,C,C,4,1,5,430,110,8,10:13,,Ryan,4.3,14.52201204
0,C,C,C,6,2,8,495,92,6,10:18,,Ryan,4.95,19.2442185
0,C,C,C,4,9,13,334,57,0,10:22,,Ryan,3.34,8.761587752
0,C,C,C,43,35,78,390,95,7,10:28,,Ryan,3.9,11.94590607
0,C,C,C,8,7,15,425,77,8,10:33,,Ryan,4.25,14.18625433
0,C,C,C,0,0,0,450,80,0,10:35,,Ryan,4.5,15.90431281
0,C,C,C,9,3,12,395,70,4,10:40,,Ryan,3.95,12.25417484
0,C,C,C,10,16,26,360,62,15,10:46,,Ryan,3.6,10.1787602
0,C,C,C,23,12,35,540,70,15,10:50,,Ryan,5.4,22.90221044
0,C,C,C,33,11,44,630,110,2,10:55,,Ryan,6.3,31.17245311
0,C,C,C,8,12,20,550,110,23,10:59,,Ryan,5.5,23.75829444
0,C,C,C,9,12,21,360,90,13,11:02,,Ryan,3.6,10.1787602
0,C,C,C,8,12,20,610,190,20,11:10,,Ryan,6.1,29.22466566
0,C,C,C,17,26,43,480,165,19,11:15,,Ryan,4.8,18.09557368
0,C,C,C,50,21,71,460,100,9,11:21,,Ryan,4.6,16.61902514
