OBJECTID,Join_Count,TARGET_FID,Class_name,Shape_Leng,Shape_Area_1,Block,Plot,Shape_Length,Shape_Area,Year
66,1,16202,disk,118.1529986,870.9952636,3,UN,22.98812455,7.014407012,2016
67,1,17670,disk,116.9089365,854.1769176,2,BR,16.86280541,5.508182581,2016
68,1,17701,disk,116.9089365,854.1769176,2,BR,2.746697641,0.351952505,2016
69,1,18216,disk,116.9089365,854.1769176,2,BR,1.736226822,0.122113295,2016
70,1,18217,disk,116.9089365,854.1769176,2,BR,1.903388255,0.135734925,2016
71,1,18313,disk,116.9089365,854.1769176,2,BR,1.777229191,0.075739195,2016
72,1,18314,disk,116.9089365,854.1769176,2,BR,2.384293153,0.19850559,2016
73,1,18421,disk,116.9089365,854.1769176,2,BR,3.114592583,0.415422445,2016
74,1,18422,disk,116.9089365,854.1769176,2,BR,153.6141436,50.29353658,2016
75,1,18553,disk,116.9089365,854.1769176,2,BR,2.205861689,0.11525908,2016
76,1,18620,disk,116.9089365,854.1769176,2,BR,2.075537476,0.25170436,2016
77,1,18774,disk,116.9089365,854.1769176,2,BR,1.995846993,0.177371105,2016
78,1,18775,disk,116.9089365,854.1769176,2,BR,2.159595267,0.32875345,2016
79,1,18857,disk,116.9089365,854.1769176,2,BR,17.82688332,2.903846417,2016
80,1,18898,disk,116.9089365,854.1769176,2,BR,1.688924585,0.144611235,2016
81,1,19610,disk,115.5233142,833.6887392,2,UN,37.28354497,11.41725984,2016
82,1,19738,disk,115.5233142,833.6887392,2,UN,1.670876957,0.113248065,2016
83,1,19771,disk,116.9988719,855.1988992,2,BN,2.558328174,0.32263914,2016
84,1,19772,disk,116.9988719,855.1988992,2,BN,25.48412612,9.386038525,2016
85,1,19912,disk,115.5233142,833.6887392,2,UN,3.143859101,0.193723335,2016
86,1,19913,disk,115.5233142,833.6887392,2,UN,1.61790221,0.1820998,2016
87,1,19914,disk,115.5233142,833.6887392,2,UN,32.67584318,10.99521589,2016
88,1,20383,disk,116.9089365,854.1769176,2,BR,2.498573716,0.40451295,2016
89,1,20384,disk,116.9089365,854.1769176,2,BR,25.24400511,14.15408758,2016
90,1,21036,disk,116.1422269,843.0429255,1,UR,7.068333515,0.511668866,2016
91,1,21037,disk,116.1422269,843.0429255,1,UR,46.0672224,15.39240311,2016
92,1,21071,disk,116.1422269,843.0429255,1,UR,1.47341172,0.08048081,2016
93,1,21138,disk,116.6991154,851.0663095,1,BN,2.496117285,0.263942215,2016
94,1,21145,disk,116.6991154,851.0663095,1,BN,2.462312837,0.27694768,2016
95,1,21146,disk,116.6991154,851.0663095,1,BN,19.65950082,6.759802156,2016
96,1,21158,disk,116.6991154,851.0663095,1,BN,2.072466969,0.130945285,2016
97,1,21737,disk,116.1422269,843.0429255,1,UR,2.778921137,0.43174882,2016
98,1,21738,disk,116.1422269,843.0429255,1,UR,24.56074273,4.390851359,2016
99,1,22048,disk,116.1422269,843.0429255,1,UR,2.290280271,0.133028325,2016
100,1,22049,disk,116.1422269,843.0429255,1,UR,1.679957167,0.14459831,2016
101,1,22050,disk,116.1422269,843.0429255,1,UR,46.88164612,11.2687891,2016
102,1,22289,disk,116.6991154,851.0663095,1,BN,3.763583578,0.354699729,2016
103,1,22290,disk,116.6991154,851.0663095,1,BN,1.927793825,0.167149805,2016
104,1,22291,disk,116.6991154,851.0663095,1,BN,28.4195982,10.77692412,2016
105,2,22980,disk,116.1422269,843.0429255,1,UR,30.66249253,8.72646391,2016
106,1,22991,disk,117.0175924,855.5856426,1,UN,2.511799915,0.169201451,2016
107,1,22992,disk,117.0175924,855.5856426,1,UN,1.370243547,0.10641232,2016
108,1,23600,disk,116.9761883,855.0944813,1,BR,31.01486171,10.54366466,2016
109,1,23788,disk,117.0175924,855.5856426,1,UN,18.96363494,6.14798117,2016
110,1,23810,disk,117.0175924,855.5856426,1,UN,1.163690254,0.08390884,2016
111,1,24314,disk,116.9761883,855.0944813,1,BR,9.805257006,1.166421144,2016
112,1,24567,disk,116.6991154,851.0663095,1,BN,3.083468815,0.387428205,2016
113,1,24568,disk,116.6991154,851.0663095,1,BN,18.22752158,5.554527134,2016
114,1,24573,disk,116.6991154,851.0663095,1,BN,1.238204637,0.073691235,2016
115,1,24606,disk,116.6991154,851.0663095,1,BN,15.54169056,5.567460559,2016
116,1,24633,disk,116.6991154,851.0663095,1,BN,3.469546624,0.347858445,2016
117,1,24792,disk,116.6991154,851.0663095,1,BN,2.638616059,0.19504247,2016
118,1,24801,disk,116.6991154,851.0663095,1,BN,3.183985104,0.404464935,2016
119,1,24802,disk,116.6991154,851.0663095,1,BN,21.9666322,7.8874747,2016
120,1,25080,disk,116.6991154,851.0663095,1,BN,2.478985686,0.334913931,2016
121,1,25081,disk,116.6991154,851.0663095,1,BN,14.59257225,5.549813215,2016
122,1,25445,disk,116.9761883,855.0944813,1,BR,2.896026364,0.335555951,2016
123,1,26733,disk,116.9761883,855.0944813,1,BR,1.991721719,0.209416925,2016
124,1,27278,disk,116.9761883,855.0944813,1,BR,31.87032271,10.9678877,2016
125,1,27318,disk,116.9761883,855.0944813,1,BR,2.73154581,0.27558053,2016
1,1,1282,disk,119.2222523,888.2742305,1,BN,21.83872594,10.15312575,2021
2,1,1304,disk,120.3625248,905.4269355,2,UR,33.59818257,25.71848076,2021
3,1,2292,disk,118.6366783,879.6052946,4,UN,36.76947971,15.46675367,2021
4,1,5315,disk,118.9887134,883.5261668,3,BR,25.62305381,13.9375469,2021
5,1,5988,disk,120.3625248,905.4269355,2,UR,14.28381091,5.336315049,2021
6,1,6478,disk,118.5512532,878.2600063,2,BR,13.38139185,2.97331246,2021
7,1,8071,disk,119.2222523,888.2742305,1,BN,20.46303342,9.860102416,2021
8,1,9932,disk,120.0586218,899.4740269,3,BN,17.5956148,7.31536906,2021
9,2,10911,disk,117.980045,869.9219606,1,UR,36.306114,13.52039,2021
10,1,13268,disk,119.2222523,888.2742305,1,BN,22.49973511,8.339914991,2021
11,1,19604,disk,119.5505647,892.0283348,3,UR,22.77091942,11.25201197,2021
12,1,20097,disk,118.5512532,878.2600063,2,BR,16.09357683,5.236551939,2021
13,1,20605,disk,119.2222523,888.2742305,1,BN,23.58320281,7.119627866,2021
14,1,22336,disk,118.9604018,884.2446147,1,UN,23.48948429,7.70452599,2021
15,1,28427,disk,118.5512532,878.2600063,2,BR,19.44375397,8.57676003,2021
16,1,29839,disk,118.5512532,878.2600063,2,BR,19.85413286,8.719933815,2021
17,1,32024,disk,117.980045,869.9219606,1,UR,37.00945377,14.16121728,2021
18,1,32758,disk,119.1693172,887.4824556,5,UN,27.34173256,13.85357249,2021
19,1,33442,disk,117.980045,869.9219606,1,UR,30.65055796,15.34822438,2021
20,1,34050,disk,119.2222523,888.2742305,1,BN,31.20392161,12.80621159,2021
21,1,35490,disk,117.980045,869.9219606,1,UR,18.80043431,4.540309801,2021
22,1,40715,disk,119.2222523,888.2742305,1,BN,18.0131831,7.42803907,2021
23,1,40879,disk,119.045105,885.6391367,5,BR,17.76062313,4.140418561,2021
24,1,41128,disk,119.5505647,892.0283348,3,UR,35.49274809,21.53914335,2021
25,2,46697,disk,118.9887134,883.5261668,3,BR,27.91294397,15.02721862,2021
26,1,49524,disk,120.0586218,899.4740269,3,BN,20.00679012,10.06366754,2021
27,2,54423,disk,119.5505647,892.0283348,3,UR,31.10196796,17.83647783,2021
28,1,54948,disk,119.045105,885.6391367,5,BR,16.51794215,6.37014135,2021
29,1,60730,disk,119.0584277,885.8720338,5,UR,50.32784878,41.09507321,2021
30,1,61653,disk,120.2341675,903.2547268,4,BR,34.46480473,22.33783283,2021
31,1,62847,disk,119.6515883,894.7258631,1,BR,15.4377594,5.565976356,2021
32,1,63629,disk,118.6366783,879.6052946,4,UN,19.20882407,5.321260475,2021
33,1,64742,disk,120.0586218,899.4740269,3,BN,17.94318547,6.959091765,2021
34,1,64874,disk,117.8645196,868.1090295,5,BN,19.61185108,7.448158411,2021
35,1,71616,disk,119.0584277,885.8720338,5,UR,32.56236744,16.2850082,2021
36,1,73307,disk,120.2341675,903.2547268,4,BR,27.57251782,16.58741495,2021
37,1,77005,disk,119.045105,885.6391367,5,BR,23.31844145,12.53289,2021
38,1,79444,disk,119.0720067,886.0906709,4,BN,11.83729835,3.441393995,2021
39,1,79925,disk,119.0720067,886.0906709,4,BN,34.65703596,15.85332464,2021
40,1,81112,disk,119.0584277,885.8720338,5,UR,18.79797051,7.314581785,2021
41,1,82084,disk,118.2098884,873.1358666,2,BN,22.75562311,9.094016636,2021
42,1,83630,disk,118.6366783,879.6052946,4,UN,21.01049758,8.007397536,2021
43,1,83940,disk,119.6515883,894.7258631,1,BR,16.9026667,6.15874356,2021
44,1,87693,disk,117.2843878,859.3265046,2,UN,48.13952144,17.24087759,2021
45,1,88370,disk,117.2843878,859.3265046,2,UN,28.47988154,12.39999404,2021
46,1,88523,disk,118.5512532,878.2600063,2,BR,10.62917371,2.968874286,2021
47,1,89020,disk,119.0584277,885.8720338,5,UR,17.90032268,3.850622859,2021
48,1,89317,disk,117.2843878,859.3265046,2,UN,49.685193,29.95356247,2021
49,1,97041,disk,118.2098884,873.1358666,2,BN,21.15948824,10.75171428,2021
50,1,97582,disk,117.2843878,859.3265046,2,UN,33.42293236,14.50234326,2021
51,2,97807,disk,117.980045,869.9219606,1,UR,38.14985207,15.66837188,2021
52,1,98389,disk,119.6515883,894.7258631,1,BR,23.94812133,13.16416062,2021
53,2,103989,disk,118.9604018,884.2446147,1,UN,32.81946783,12.09685306,2021
54,1,104658,disk,118.9604018,884.2446147,1,UN,12.99467024,3.369817995,2021
55,1,106116,disk,117.2843878,859.3265046,2,UN,37.41143301,18.30180849,2021
56,1,116674,disk,118.9604018,884.2446147,1,UN,25.97750356,10.62795606,2021
57,1,119058,disk,118.9604018,884.2446147,1,UN,14.55219086,5.940005875,2021
58,1,119423,disk,118.2098884,873.1358666,2,BN,11.34968539,3.40617543,2021
1,1,890,disk,0,0,2,BR,22.44071036,4.249848195,2023
2,1,2052,disk,0,0,2,UR,18.82350414,2.883118595,2023
